"title","author","state","date","ver.purchase","helpful","format","stars","comments"
"Get the Gen 3, sound quality is way better.","Ted","United States ","November 20, 2020",1,107,"CharcoalConfiguration: Echo Dot",1,"Get the Gen 3 instead of this one.Sound quality is way better on the Gen 3 than the Gen 4.This new Gen 4 costs a lot more money, and doesn't sound good.The Gen 3 actually has pretty good sound quality until you get it up 3/4 of the max sound.I bought a bunch of the Gen 3s and a couple of the Gen 4s and I was going to see which I like better.After setting up the Gen 4 I played the same song on the Gen 3 and the Gen 4 side by side with the lights off to really focus on the sound.The Gen 4 sounds like a tin can, it has no quality to it just a empty sound, Even after I adjusted the sound settings, bass and reverb.The Gen 3 actually has some bass and some ""thickness""  to the sound.I'm returning both of my Gen 4s.While we are on the topic, don't get an echo show, the digital display Alexa devices. Just get a fire tablet and use it for the same thing. It does everything the show does but way more, you can get most apps on it."
"Not better than 3rd gen and bigger","Barry","United States ","October 22, 2020",1,126,"CharcoalConfiguration: Echo Dot",1,"This is a gimmick because it's not better than the 3rd gen echo dot. Plus this is bigger and bulkier. I'm going to buy the more of the 3 and return this one."
"Sound quality is bad, very bad.","Laura G","United States ","November 23, 2020",1,67,"CharcoalConfiguration: Echo Dot",3,"I own echo dot gen 3and I was VERY excited to try gen 4. However, it is quite disappointing, the voice recognition is ok. But the sound quality is horrendous, even Alexa sounds different. I will keep it because I can’t wait until 2021 to get another gen 3. Also it feels cheaper than gen 3 so... if you can get gen 3 instead of 4, do it."
"Horrible sound quality.","Phillip B","United States ","November 27, 2020",1,56,"CharcoalConfiguration: Echo Dot",2,"I was very excited about the new echo dot. I traded in my first gen echo for this dot. I have an Alexa in every room of my home. I loved the look of the new dot and the light ring on the bottom instead of the top. However once setup was complete and I played my first song on it I was taken back by the terrible noise that came out of it. It was flat, bassless, and hollow sounding. After a song and a half I unregistered the dot and boxed it back up for return. My echo dot 3rd gens sound 15 times better than this thing and will be purchasing another one of them instead. Hope this review helps."
"The microphone is garbage, rarely responds to wake word.","Barbi Stewart","United States ","November 6, 2020",1,63,"CharcoalConfiguration: Echo Dot",1,"We are returning the 4th Gen Echo Dot after trying unsuccessfully for nearly two months to get it working properly. Do not buy until they suss out the mic.I sit less than 30"" away from it, and it does not respond to the wake word. I have to shout at it so loud that the 3rd gen Dot in the living room downstairs responds. If I press the Alexa button, it responds to commands. If I unplug the power, let it sit for 60 seconds, then plug it back in, it responds to the wake word for a while. If I walk away from it for an hour or two after rebooting it, the Echo is back to not responding to the wake word. This device is of no use if I have to keep power it cycling manually to make it functional. No, the mic is not on mute."
"Black echo with white power cable(?)(?)(?)","ShelbyMedic","United States ","October 22, 2020",1,47,"CharcoalConfiguration: Echo Dot",3,"Of course I love my echo dots. They’re incredible. And the newest is amazing but come on guys, if I order a black echo, why the heck would you send a white power cable?? Obviously someone wants a black cable with a black echo."
"Keep your last generation echo, this is a MAJOR downgrade","Robert","United States ","December 11, 2020",1,42,"Glacier WhiteConfiguration: Echo Dot",1,"I purchased this as I always do with the latest and greatest echo devices. This was a horrible mistake.Problems:1. These echo and power cord are no longer matching colors and the cord is shorter and feels significantly cheaper.2. The power adapter is much larger and cheaper too and is a bulky design.3. The sound quality compared to the 3nd Gen Dot is substantially worse. As in if the sound quality if the 3nd gen was a 8 out of 10 the sound quality of this 4rd gen is maybe a 3 out of 10. The speaker lacks bass and is very ""hollow"" sounding.4. Its fabric mesh, and construction seem cheaper and feel like they are much lower quality.5. It has this awful cheap plastic look to it similar to a Chinese garbage speaker you would get on wish.7. The buttons are unresponsive and feel like hollow plastic.Pros:I guess the light under it is a nice touch however on a dark surface it makes it difficult to see during the day.Its clear that a lot of its features, and quality were stripped. The gen 3 dots are amazing, and if you are thinking of upgrading, don't. If you are looking for a echo dot get a gen 3, I even went out and found three more gen 3 dots to replace my last gen 1 dots since I know I won't be able to get them soon and will be stuck with this garbage until gen 5 which they hopefully won't cheap out on."
"Black Echo. White power cable. Just sad.","Mr. Hirtan","United States ","October 22, 2020",1,58,"CharcoalConfiguration: Echo Dot",2,"Why would you include an off white power cord with a black Echo? Did you suddenly jump on the Apple bandwagon? This looks horrible."
"Disappointing","William Alsina-Bravo","United States ","October 22, 2020",1,79,"CharcoalConfiguration: Echo Dot",1,"Apart from not having a hub built in to connect all devices that support alexa, it also doesn’t support apple music even though it says it does... quite frankly disappointed... oh the black echo comes with a white cord, I don’t know why they did that."
"Not a better dot","Phi","United States ","October 23, 2020",1,84,"Twilight BlueConfiguration: Echo Dot",1,"The sound is not at the quality of my other dots. Not worth the extra cost."
"What did an extra $30 buy exactly?","Frank Druthers","United States ","November 1, 2020",1,45,"Twilight BlueConfiguration: Echo Dot",2,"The sound is worse than the 3rd gen Echo Dot. Don't let the bloated size fool you, as it is not very loud. The signal light is at the base so it is hard to see if it is listening and the mic seems to have trouble understanding things. I was hoping I was upgrading, but I was just being scammed by a gimmicky sales approached. Save your money and buy the 3rd gen dot and get a 3 year warranty."
"4th Gen Disappointment","cmiller83","United States ","November 13, 2020",1,65,"CharcoalConfiguration: Echo Dot",1,"I have purchased every dot and almost every echo.  The style of this dot is excellent. I believe it is the sharpest design yet, however, the audio quality is on par with the very first echo dot.  The white cord with black dot doesn't really make sense, but I replaced with an old cord from a more hidden dot. I had an expectation of increasing levels of audio quality, but this device leaves a lot to be desired.  Stick with the third gen at this point.  The volume, richness, and fullness of the audio are all worse than the previous generation(s).  I've been impressed with every Amazon device I've purchased until now.  Perhaps they can solve with a software update, but overall, I'm very disappointed"
"Amazing Smart Speaker for under 50$","yarrum","United States ","October 22, 2020",1,28,"Glacier WhiteConfiguration: Echo Dot",5,"This smart speaker is great at controlling your smart home and light music listening. While it sounds okay to a person with good taste in sound, the normal consumer would love this. Overall a must-buy!"
"Best dot ever <U+0001F44D><U+0001F607>","Pete","United States ","October 27, 2020",1,21,"CharcoalConfiguration: Echo Dot",5,"I currently have 6 Echo devices and I have had nearly every model since the original pringles can design.  I love the look of the new globe style dots.  I purchased this latest dot for use near my new Xbox in the media room.  the sound is excellent for its size and I love the  futuristic look and shape of the device.  Highly recommended!  Amazingly simple setup took all of 20 seconds using the alexa.amazon.com website!"
"Made the Switch","Jay Fishman","United States ","November 3, 2020",1,21,"Glacier WhiteConfiguration: Echo Dot",5,"We had Google Home devices primarily for music and basic information. We became disenchanted with Google when they started pushing their Youtube subscription service and when you ask for a certain artist, they don't play that artist but similar artists. So, we tried a couple of these new Echo Dots and so far love them. They are superior in many ways. The sound quality is very good and we like the way the device operates and presents itself. We get the music we want and Alexa gives much better and thorough information when you ask questions. We're getting rid of Google Home all together."
"This thing is a piece of junk! (With 3 month update)","Brit Kai W. Anders","United States ","November 25, 2020",1,37,"Twilight BlueConfiguration: Echo Dot",1,"I live in a 27' RV. I bought this junkie thing to ""upgrade"" my Dot gen 3. I'm fairly computer literate and have set up many dots over the years for myself and friends. This one is by far the worst Echo I've ever seen. It refuses proper setup, can't stay connected to Wi-Fi, and has really bad bass - as I found on those rare times I've been able to get it to work for a few minutes. I thought I could use them both to cover more of the sound spectrum when playing music, but this new (much lower quality) dot won't play music if the other dot is playing. (This problem has been fixed.) Bottom line: if you have a Echo Dot Gen 3, seriously, don't waste your money! Gen 4 is junk and the Gen 3 has way better sound. I think Amazon has been paying reviewers to give it a good review. If you look at my other reviews, I tend to look for the good in what I review, this one has very little good to talk about. (Disclaimer: it may be this particular unit, but the package arrived undamaged.)Update: A very pleasant Amazon employee contacted me after I left the original review. We worked on getting the Dot set up and I agreed to try it out until mid-January to give it a fair trial. It's now been a couple of weeks and my opinion of it hasn't changed. It sounds more tinny, even after tweaking the equalizer settings. The Gen 3 sounds almost like a Bose speaker by comparison. And as far as I've discovered so far, the Gen 4 does nothing that the Gen 3 couldn't do.Update: It's been a couple of months. I didn't return it because doing so would be too much of a hassle and I figured I would give it to someone who's just starting out. I have been using it, though, to give it a chance. My initial opinion of it hasn't changed. I can't find anything about it that makes it better than my Gen 3. At this point, I feel like it was a total waste of cash. The thing is sitting right next to my bed and it sometimes has trouble hearing its wake word. Next type the actual Echo device goes on sale, definitely upgrading."
"Stick with the 3rd generation...","Locutis Tech","United States ","November 19, 2020",1,24,"CharcoalConfiguration: Echo Dot",3,"Seems like a step in the wrong direction for this product. Set up was remarkably easy, beyond that needed to prompt Alexa at least 3 times from 6 feet away just to accept a command. Sound quality compared with the 3rd generation proved disappointing to say the least. While neither is great, the 3rd gen offers a pleasant well rounded sound ideal for general ambient music compared with the shrill, bass less sound of the 4th generation which also distorts quite a bit at louder volume. Mine might be defective for all I know, but sending back for a few more 3 gen models once they're in stock."
"Stick to the 3rd gen","Amazon Customer","United States ","November 22, 2020",1,39,"CharcoalConfiguration: Echo Dot",1,"I bought this because of the ""Order with Alexa"" deal. Just received this today and was excited to set it up. I have a few other echo dots (3rd gen) and I'm quite disappointed with the sound quality of this 4th gen model. No matter how much I've tweaked the equalizer settings, the sound is reminiscent of a tin can. There's no bass at all.I didn't notice a difference with how quickly Alexa processed a request. I also didn't find the light ring bright enough on my nightstand. It's hard to see it from certain angles. I do like the new design but I'm very disappointed overall. I called Amazon tech support and they told me to give it two days to see if I adapt to the way this new version sounds but I'm probably going to return it tomorrow anyway.If you have the 3rd gen model, stick with it. If you're looking to purchase an echo dot, just purchase the 3rd gen."
"Audio quality DOWNGRADED vs. previous model","Drew Doss","United States ","November 27, 2020",1,24,"Glacier WhiteConfiguration: Echo Dot",2,"I plugged this baby in ready to be blown away. I am definitely blown away. Blown away by just how much worse the sound quality from this thing is compared to the Gen 3. It was so bad that I hooked my Gen 3 up side by side to test it and make sure I’m not crazy. Reading through the reviews, I’m left to wonder if at some point they fell substantially behind in production and they told the manufacturer to just use whatever parts they could find. When people say it sounds like a $5 Bluetooth speaker from the gas station, they aren’t kidding. In every measurable way, the audio is a downgrade. I tried changing the settings, but the little guy just doesn’t have any juice. Disappointed enough to process a return which I never do. If you were expecting this to rival or even outperform the Gen 3, you are in for the same disappointment."
"An upgraded Alexa with Booming sound","lawrence gonzalez","United States ","October 26, 2020",1,15,"CharcoalConfiguration: Echo Dot",4,"My only grip is that it comes with a white charging cord. Why would a Black/Blue ball come with a clashing bright white charging cable. Is there a way: I can send the cord back for a new one. The original alexa came with a black cord and it made sense."
"Improved ""Alexa"" voice but less voice detection capability; light is difficult to see.","Good Reviews","United States ","November 4, 2020",1,14,"Glacier WhiteConfiguration: Echo Dot",3,"The 4th Gen Echo Dot has better ""Alexa"" voice output as compared to Echo Dot 3rd Gen which has a very muffled Alexa voice.  However, the Echo Dot 4th Gen doesn't respond as readily and reliably as the 3rd Gen.  The microphone/voice detection function is worse than the 3rd Gen.  Also, the light indicating response or notifications is entirely at the very bottom perimeter and is much harder to see than Dot 3rd Gen, especially if the viewer is not looking almost horizontally at the base.  When looking down at almost all angles, or up at any angle, the light isn't visible.  I'm trying some aluminum foil around the base to reflect up some light so I can see when the device is detecting my voice.  Amazon should create an inexpensive remedy immediately.  One suggestion would be a snap-on, iridescent, translucent, plastic base ring that would reflect light high enough to be seen when looking at the Dot 4th Gen. while not decreasing the slip-resistance of the existing base."
"I like it! <U+0001F44D><U+0001F3FE>","buyitnowgrl","United States ","November 28, 2020",1,12,"CharcoalConfiguration: Echo Dot",5,"This is my fourth echo and the worst one of them all! I’ve had 2 generation 1 echo dots, a gen 3, and now this one! While the voice recognition does work and it has a bigger speaker the sound quality sucks! I normally like to listen to music while I cook dinner on the echo but this echo have no bass or treble. Just received it today and I’m about to send it back and just buy another Gen 3 for my downstairs. Amazon how do you upgrade a product but make it worse? <U+0001F926><U+200D><U+2640><U+FE0F> DO NOT BUY if you care about sound quality.EDITED: Decided to keep the Echo Dot and use it in a bed room with the sound quality really didn’t matter that much. I will say the voice recognition is a lot better than the echo three but I still prefer the echo three as far as sound quality. I increased it one star.EDIT 4/15/21: I don’t know what type of Amazon did recently. But all of a sudden one day I started getting base and trouble on my echo IV and the sound quality improved. I’ve even had to turn the bass off because I decided to use this in my bedroom and all of my music made me want to dance instead of go to sleep with the extra bass <U+0001F602> I also want to add that I noticed the voice recognition and pick up is a lot better than my other Echo Dot  Gen 3 so I’m changing this to 5 <U+2B50><U+FE0F>"
"Skip this “upgrade”. The audio is Terrible","Matt","United States ","December 6, 2020",1,27,"CharcoalConfiguration: Echo Dot",1,"Really disappointing downgrade. The audio is horrible on the Echo 4 dot. Sounds thin and lacking any depth or bass. Glad I paid only $30 for it although it’s not even worth that much. Everything about it feels cheap. Oh, and a white cord for a black device. Uh, ok. Brilliant. Will have to think twice before I buy the next version. Bought it without reading a single review because the Echo 3 dot was solid."
"Love the upgrade","AmazonIndy44","United States ","October 22, 2020",1,15,"CharcoalConfiguration: Echo Dot",5,"I love the sphere of the new echo dot, it’s super modern and sleek and sounds great."
"Had high hopes","Kayla Moore","United States ","November 26, 2020",1,11,"Twilight BlueConfiguration: Echo Dot",3,"I loved the new look enough to get excited when amazon also had a deal on it, but compared to the previous gen one we have the sound quality is TERRIBLE. I've gotten $5 bluetooth speakers that sound better. For the price, even on sale, I am NOT impressed.Update: my second one arrived and despite being the same color seems to sound a bit better in comparison to the first one I received so I am raising the review by 1 star. Amazon tried to call me, from a number I did not recognize, so I did not answer it. Then emailed me, and told me to reply to the email as they were concerned about my review and wanted to help. Tried to reply like they said, got an email back saying that the email that I sent was sent to an email not accepting incoming emails so I wasted about 5 minutes on that for nothing. Both echo 4th gens also seem to occasionally derp when I request a skill."
"The Third Generation is Better","Aquaria2291","United States ","December 16, 2020",1,10,"CharcoalConfiguration: Echo Dot",3,"Man, I regret buying this product lol.I wanted to add a third echo device to my home to make sure all my rooms had coverage (prior two were 2nd and 3rd gen), so I decided to give this one a try.Pros:1. Build quality and design are beautiful. It's a reasonably heavy product, and the materials feel vey sturdy and premium. I love how the ring is on the bottom, and the round shape is very futuristic and striking. It's definitely a showpiece compared to the other dot models, which are more discreet. But it's a good-looking product, I had no trouble having it on display in my home, especially if you display it on something reflective to make the most of the bottom light.2. Price is pretty on-par with other dot devices.3. On paper, all the regular dot functionality is there.Cons:1. Not really an upgrade from the 3rd generation. It's the same stuff, just a different shape lol.2. The cord doesn't match, which is a minor thing but given the more visual nature of the product, it's weird that they wouldn't have attended to that detail. The mismatching cord definitely cheapens the product, and sticks out.3. Sound was questionable. I was used to the 3rd gen speaker, so when I noticed the difference immediately with the 4th gen. It sounded tinnier and more hollow.4. Doesn't listen! My other dots are good listeners lol but this one is not. It failed to hear the wake word quite a bit, would not understand or properly carry out my instructions, pulled things out of left field (if I've been watching The Spanish Princess on Prime Video, why are you trying to pull it up on Audible right now. Lmao use your head, Alexa). None of my other two devices behaved this way.5. Weird setup looping. My other two devices set up once and that was it. But with this one, every time I would open the app, the setup interface would pop up, which was so annoying.I ultimately decided to return the product. I was being more annoyed with it than it was helping me, so at that point, it didn't make sense to keep using it. Especially when I already owned a superior product.Personally, I wouldn't recommend it to anyone as long as the 3rd gen product is available."
"Like the death star... This thing is not welcome here.","A L","United States ","November 24, 2020",1,21,"CharcoalConfiguration: Echo Dot",1,"Like the death star its shape is modeled after, this device will be short-lived...The sound quality is a massive downgrade from the Echo 3rd Gen, and it takes up almost 3x the space.The voice recognition also seems worse - we'd be standing right next to it, and it would spin and spin like it was thinking, and nothing.We bought 2, and are returning two - flagging as defective, because I can't imagine that Amazon would deliberately design something so tinny and bright sounding, when the 3rd Gen has great sound quality and volume."
