Star;Date;Colour;Review Title;Review Text
5;24-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Perfetta;Ottima macchina del caffè.Cercavo un apparecchio che fosse piccolo- maneggevole e carino- e direi che l'ho trovato.La uso con cialde compatibili Nespresso e funziona benissimo. La macchinetta si riscalda in circa 2' e ci sono due possibilità di caffè- lungo o corto- basta settarlo all'inizio pigiando a lungo il tasto corrispondente.Consigliata!!Unica pecca- il pacco arrivato nei tempi con SDA era completamente distrutto per fortuna il prodotto dentro no perché era stato imballato con del polistirolo.
4;24-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;ottima macchina;E' da parecchio che uso questo modello per il caffè Nespresso  e non mi sono mai lamentato perciò non posso dare giudizi negativi
5;23-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;In linea con descrizione;Molto efficente la velocità di riscaldamento e facilità di uso- limitata al solo caffè ma questa è la sua funzione
5;22-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Macchinetta buona e colori belli;Uso domestico.La mia seconda macchinetta in 5 anni ottimo rapporto/prezzo. Durata niente male!Manutenzione e istruzioni un Po difficili da seguire però per scelta l'ho lasciata impostata come uscita dalla Fabrica.Consigliatissima
4;21-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ottima macchina- ma...;La macchina- come al solito- è arrivata con perfetto tempismo nel rispetto dei termini di consegna comunicati. All'interno della confezione era presente un campionario di capsule Nespresso che però sono risultate del tutto INCOMPATIBILI con la macchina. La foto numero 3 evidenzia la differenza tra una capsula Nespresso originale (colore oro) e una capsula Respresso Caffè Borbone- mentre la foto n. 4 evidenzia quello che accade quando si inserisce una capsula Nespresso originale. Conclusione: comprate pure la macchina- ma lasciate perdere le capsule marchio Nespresso e rivolgetevi ad altri produttori do capsule compatibili. Personalmente ho trovato eccellenti sotto ogni punto di vista le capsule Caffè Borbone miscela blu.
1;20-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Macchina  difettosa.;"Purtropp ho dovuto restituire la macchina  perché difettosa  perdeva acqua  dalla parte inferiore- faceva rumore e non erogava caffè.  Il servizio ""RESI""  é  stato efficientissimo- ritiro tempestivo  ed accredito del rimborso immediato."
5;19-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;nespresso inissia;Posso solo dire di essere molto soddisfatto nell'aver acquistato questa macchina per il caffè. Il caffè esce nel giro di pochi istanti inoltre c'è una vastissima scelta di cialde per tutti i gusti. Sono molto soddisfatto.
5;18-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ottimo prodotto;Ho aspettato un anno x dire che è veramente perfetta - consiglio x non aver nessun problema di incostrzioni ( acqua distillata ) Consglio veramente
2;17-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Macchine scarsa;Il caffe corto non si ferma da solo e quando si apre il carrello per mettere la capsule il caffè gocciola fuori dalla griglia.macchina studiata Malè e costruita peggio. Lasciate perdere
5;16-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Fantastica!;"Conoscevo già la bontà del prodotto perché la usa mia mamma ma averla comprata è stata una rivelazione ed una liberazione. Noi la usiamo con capsule originali e non in quanto conosciamo l'altro prodotto. La praticità sta anche nel fatto che molti produttori di caffè riconoscono lo standard e si sono adeguati per cui avete un'ampia possibilità di scelta per quanto riguarda i gusti. La ""macchinetta"" è piccola e potete metterla dove volete per poi spostarla al momento dell'uso. La qualità è sempre perfetta. Manutenzione praticamente assente (leggete bene le istruzioni) e l'unica cosa da fare è trovare il vostro/vostri gusti preferiti. Per gli amanti del buon caffè è assolutamente consigliata."
5;13-set-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Ottimo prodotto;Ho già avuto questo stesso modello in un altro ufficio e l'ho ricomprato. Non ha mai avuto problemi (se si sta attenti a non forzare la chiusura quando è troppo pieno di capsule esauste) e fa il suo dovere ottimamente. Da montare non c'è veramente nulla: semplicità assoluta.Il colore giallino chiaro è anche grazioso- ma il più bello è il celeste (che però costa di più).
3;12-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Macchina caffè De Longhi Nespresso;"DeLonghi- Nespresso Inissia EN80.B- Macchina per Caffè Nespresso e compatibili- Nera. Ordinata sabato 8 sett.2018 ricevuta rapidissima Lu 10 sett. Ottime caratteristiche e linea elegante. PERO'- dopo aver fatto + lavaggi suggeriti- ad oggi 12 sett. ha fatto  una 15na di buoni caffè- ma- dopo averli fatti- seguita a gocciolare per altri 20-25 secondi. Vaschetta di raccolta di appena 8 capsule (la precedente di 8 anni fa- ""Nespresso"" ne raccoglieva circa una ventina)"
5;11-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ottima macchina per il caffè;Ottima macchina per il caffè- caffè buono e cremoso. Questa è la seconda che ho acquistato avendo la stessa a casa.Ho deciso di acquistarla per l'ufficio ed è ottima. L'ideale per chi ha poco spazio.
3;10-set-18;Formato: Cucina Utile Segnala un abuso;Buono;Prodotto utile e funzionale però unico difetto che non si ferma automaticamente- il flusso del caffè va fermato con il pulsante.
5;09-set-18;Stile: InissiaColore: White Utile Segnala un abuso;Lo riacquisterei;Ottimo prodotto..fa il.suo dovere ovvero un buonissimo caffè cremoso ed intenso..la prima macchina del caffè che mi soddisfa a pieno..ne avevo provate molte ma non mi sono mai trovato bene..il design è anche molto elegante!!
4;07-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;PRODOTTO VALIDO..;inizio col dire che la macchinetta in sé è economica..ha dei pro e dei contro...i suoi pro sono= in sé è piccola e poco ingombrante- utile a chi ha poco spazio a disposizione... qualità più che buona- del resto per il prezzo che costa non si può pretendere chissà cosa..qualità del caffè erogato ottimo-bello caldo e molto cremoso (COME PIACE A ME).abbastanza silenziosa e carina..E FIN QUI TUTTO APPOSTO..però ha anche dei contro..infatti il 1 che ho riscontrato è la lunghezza del filo è troppo corto- infatti se non avete una fonte di luce abbastanza vicina si ha bisogno di una prolunga..il 2 contro che ho riscontrato è la quantità di caffè erogato- infatti col pulsante (caffè corto) si riempie più della metà della tazzina e questo comporta che il caffè venga annacquato...il 3 contro è la scomodità nell'inserire le capsule- perché se non state attenti rischiate di schiacciarle...questa è la mia breve esperienza con questo prodotto...le conclusioni sono che se non volete spendere tanto e avere risultati più che soddisfacenti questo è il prodotto che fa per voi..Io mi sono trovato più che bene...servizio AMAZON sempre al top..
5;05-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;ottima;REgalata a mia sorella in occasione del suo trasferimento nella nuova casa. Viene fornito un codice promozionale da spendere sul sito nespresso. Macchina perfetttamente funzionante
5;04-set-18;Stile: InissiaColore: White Utile Segnala un abuso;Macchinetta Nespresso;Ottimo rapporto qualità/prezzo. Macchinetta Nespresso semplice da utilizzare e ottima per fare un buon espresso anche con cialde compatibili. Prodotto consigliato.
5;03-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Soddisfatto;Sono davvero soddisfatto dell acquisto di questa macchinetta del caffe.....la consiglio per tutti coloro che bevono pochi caffe al giorno altrimenti i costi oer le capsule diveterebbero alti soprattutto se si aquisterebbero capsule originali nespresso. La consiglio
5;31-ago-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ottimo;Nespresso sempre una certezza. È la seconda che acquisto e la prima- seppure strausata- ha fatto il suo dovere per 5 anni. Nespresso forever
1;27-ago-18;Stile: Inissia & AeroccinoColore: White Utile Segnala un abuso;fregatura;rumore infernale appena accesa- non bucava neanche la capsula quindi nessuna erogazione caffe'.. ne acqua.So che le macchine Nespresso sono buone... ma questa e' difettosa e va revisionata.ora capisco il prezzo:... uno specchio per le allodole
4;25-ago-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Amnesia parziale;Premuto uno dei due tasti per accenderla e aspettato qualche secondo- è pronta per erogare. Ma a volte si blocca e sono costretto a staccare direttamente la presa e riattaccarla e rifare la procedura. Ma alla fin fine la macchina fa un buom caffè
5;24-ago-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Perfetta!;Ormai non posso far a meno della nespresso! Macchinetta facile da usare- 2 tasti . Facile da pulire - basta mettere i componenti che si possono togliere in lavastoviglie. Caffè sempre caldo e aromatico. Tempo di attesa perché la macchina sia pronta : meno di 30 sec.5 stelle!
4;24-ago-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Nespresso;La nespresso è un’ottima marca per il caffè con le cialde e ne trovi molte compatibili. Il caffè è buono ma delle volte risulta un pochino acquoso- rispetto alle nuove macchine nespresso che il gusto è più intenso. Però per il costo che stava in offerta con cialde incluse è stato un buon affare.
5;24-ago-18;Stile: InissiaColore: White Utile Segnala un abuso;Ottimo rapporto qualità prezzo;Ottima macchina del caffè dal prezzo accessibile e dalle prestazioni ottime. Nella mia offerta erano incluse anche 60 capsule in omaggio. Sono molto soddisfatto.
5;23-ago-18;Stile: InissiaColore: White Utile Segnala un abuso;Molto soddisfatto;Rapporto qualità prezzo ottima. Il caffè è cremoso e CALDO che- a mio parere- è uns delle cose più importante per queste macchinette
4;22-ago-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Buona macchinetta;Validissima per chi come me fa pochi caffè in un giorno. Un po' leggerina. Ha il vantaggio di occupare poco posto. Tenuto conto del prezzo pagato- mi ritengo soddisfatto.
3;21-ago-18;Stile: InissiaColore: White Utile Segnala un abuso;da battaglia;Presa di corsa visto il prezzo- in sostituzione della precedente che perdeva acqua copiosamente e nonostante tutti i suggerimenti trovati ed applicati era diventata inservibile.. E' sempre molto rumorosa- perde acqua comunque anche se poca ma il vassoietto si riempie in fretta.  Per chi fa molti caffé :è meglio spendere di più ed avere un prodotto migliore.
3;20-ago-18;Stile: InissiaColore: White Utile Segnala un abuso;Buon caffè;Il caffe è davvero buono con una cremina molto consistente peccato che è tiepido quindi sono costretta a far uscire un po di acqua a vuoto in maniera da riscaldare anche la tazzina
5;20-ago-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Buon caffè!;Non è la prima INISSIA che acquisto: non è ingombrante e funziona bene. L'ho presa per regalarla a mio figlio.
5;19-ago-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Consigliatissimo agli amanti del caffè;Faccio questa recensione dopo 3 mesi di intenso utilizzo della macchina e ne sono soddisfatto. La macchina Inissa DeLonghi è il modello base delle macchine Nespresso- ma visto che tutte le macchine Nespresso hanno la stessa pressione (19 bar) ha la stessa qualità dei modelli top di gamma- che presentano accessori aggiuntivi. Con la promozione Amazon e Nespresso- inoltre- ho pagato la macchina 49€ ed ottenuto buoni acquisto per capsule per il valore di 45€. Il caffè è come quello de bar (la qualità delle capsule incide sulla qualità de caffè) con la stessa comodità de bar (non sporchi niente se non la tazzina).PRO: qualità de caffè- facilità di utilizzo- prezzoCONTRO: al momento nessuno
1;19-ago-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Pessimo caffè;Caffè privo di corposità e cremosità. Ho provato con varie capsule- tutte originali- ma il risultato è rimasto immutato. Forse occorre una macchina più costosa per ottenere un caffè accettabile.....
5;18-ago-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Inissia nespresso piccola e funzionale;La macchinetta è compatta- porta via poco spazio ed è facile ed Intuitiva sia nell'uso che nella pulizia. Una volta accesa è pronta in un minuto- il caffè esce bello caldo. Uso sia cialde nespresso che cialde compatibili e non ho avuto alcun problema. Consiglio l'acquisto!
5;16-ago-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Personalmente irrinunciabile!;È la seconda macchina della Nespresso che compro e devo dire che continuo ad essere super soddisfatto. Questa poi è di dimensioni ridotte e quindi molto pratica. I due bottoni per caffè corto e caffè lungo (tra l'altro settabili a piacere) rendono perfetta la degustazione di un espresso!
5;16-ago-18;Stile: InissiaColore: White Utile Segnala un abuso;Impeccabile;Arrivata da poco la macchina da caffè Nespresso... la scatola xfetta come comprata in negozio e all' interno tutto perfetto con le capsule omaggio la garanzia e le istruzioni. Prodotto integro e bello cm in foto... ora è solo da provare ma data l anteprima non credo mi deludi! Ottimo Prodotto!!!
5;15-ago-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Sempre una conferma;Ho un modello simile da anni e sono sempre stata soddisfatta della qualità del caffè.  Questa è stata un regalo ed è stata apprezzatissima! Acquistato nel periodo di Natale ottima anche la spedizione
5;15-ago-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Con Nespresso sempre al top;Con Nespresso sempre al top. Non c'è prodotto migliore sul mercato.
1;13-ago-18;Stile: InissiaColore: White Utile Segnala un abuso;Mah....;Un gran parlar bene di questa macchina per il caffè...secondo me immotivato. Molto rumorosa sin da subito (ovviamente serbatoio acqua sempre pieno): pensavo al fatto che dovesse assestarsi con i successivi caffè ma così non è stato. Molto deluso: effettuato reso.
5;13-ago-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ottimo acquisto!;Ottima macchina da caffè.Pratica e versatile. L’ho provata con molteplici capsule compatibili e non è altro che fantastica. Comoda da pulire.
4;12-ago-18;Formato: Cucina Utile Segnala un abuso;Buon caffè;Macchina per caffè molto compatta e di facile utilizzo.. riscalda velocemente ed esce n bel caffè caldo.. soprattutto se si da un giro di acqua a vuoto. Il caffè esce cremoso. Peccato si possa fare un solo caffè a volta. Molto buono il prezzo.. nella confezione presente un astuccio con dentro delle capsule di caffè per prova..
4;10-ago-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Buona macchina da caffè;La macchina in se non è male e il costo è ottimo.Il problema veramente fastidioso è lo spazio minimo per le cialde utilizzate- ci andranno 7/8 cialde si è sempre lì a svuotarlo perché la leva si blocca.A parte questo ottima macchina
5;09-ago-18;Stile: InissiaColore: Arancio Utile Segnala un abuso;perfetta;Macchina arrivata in anticipo e perfetta. Con le cialde originali veramente un buon caffè. Piccolo ingombro e comodissimo pulirla.
5;09-ago-18;Stile: InissiaColore: Arancio Utile Segnala un abuso;Perfetta macchina del caffè;È una perfetta macchina del caffè! Facile la manutenzione e il montaggio- colore fedele alla foto!
5;07-ago-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Una garanzia;La macchinetta funziona alla perfezione- fatti circa 300 caffè e nessun problema di alcun tipo. Una volta accesa è pronta dopo pochi secondi- ed il caffè anche con cialde compatibili è ottimo. Dotata di due tasti per la lunghezza del caffè (lungo/corto)- anche se il caffè corto... è già lungo di suo. Nel complesso macchina ottima
4;07-ago-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Veloce;Si riscalda subito ed è molto comoda....Compatibile con la maggior parte delle capsule anche non originali.....
4;06-ago-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;fonziona macchinetta basica;del prodotto ci è piaciuto il prezzo e la promozione nespresso sulle cialde. il mio feeling è che queste macchinette entry level non siano fatte per durare. comunque fa il suo lavoro e per noi va bene cosi. abbiamo preso il montalatte a parte- che ci sembra la soluzione migliore
5;06-ago-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Ottimo e semplice.;"Sostituisce una versione ""digitale"" che si è rotta. L'inissia è meccanico- semplice nell'uso e fa un caffè ottimo. Ideale come prima esperienza ma- per me- come articolo definitivo."
4;05-ago-18;Stile: InissiaColore: Arancio Utile Segnala un abuso;facile da usare;ho comprato questa macchina per il caffè perché ne usiamo una uguale al lavoro- semplice- comoda- allegra- facile da pulire  …. l'unica cosa è- che ogni tanto- le capsule si inseriscono in maniera errata- schiacciandosi- e non sono più utilizzabili …. bisogna stare attenti
5;05-ago-18;Stile: InissiaColore: Arancio Utile Segnala un abuso;ottimo prodotto;e quasi un 'anno che l'ho acquistata devo dire che fa bene i suo lavoro visto e considerato che fa di media 20 caffe al giorno
5;04-ago-18;Stile: InissiaColore: White Utile Segnala un abuso;Nespresso...sinonimo di garanzia!;Piccola-bella-compatta!!! Guardandola e provandola mi viene da pensare solo questo. È la mia seconda macchina nespresso perché purtroppo l’altra essendosi rotta-hovoluto dare un’altra chance a questo marchio. Al momento ne sono pienamente soddisfatto del caffè- anche se il nuovo tipo di apertura delle cialde non mi ha soddisfatto moltissimo (diciamo che si è costretti ad arretrare il bicchierino a fine caffè) ma comunque sia per il rapporto qualità prezzo e per la grande compatibilità con le capsule Borbone-la trovo veramente ottima! Spedizione come sempre impeccabile! Da acquistare ad occhi chiusi.
5;03-ago-18;Stile: InissiaColore: Nero Utile Segnala un abuso;consigliata;ho preso questa macchina per i miei genitori perchè la mia (identica) funziona perfettamente da quasi tre anni. è un ottimo prodotto- fa solo il caffè ma è molto buono (io la uso con le capsule nespresso ma in commercio se ne trovano anche di compatibili a prezzi più bassi). Unico accorgimento fare una buona pulizia almeno un paio di volte l'anno.la spedizione è stata veloce e puntuale ed anche l'imballaggio era perfetto. nella confezione ci sono anche alcune capsule nespresso per poter iniziare subito ad utilizzarla.
5;02-ago-18;Stile: InissiaColore: White Utile Segnala un abuso;Macchina ottima- caffè come al bar;La macchina per caffè Nespresso KRUPS INISSIA è stata una scoperta casuale- grazie ad un amico che l'aveva già acquistata. Pagata circa 60 euro questa è una macchina che fa un caffè che buono è dire poco. Ho già acquistato le capsule compatibili Caffè Borbone e sono perfettamente compatibili- non forzano- non si incastrano. Dà ottimi risultati persino con l'orzo biologico della marca Crastan. Una cremina da leccarsi i baffi- meglio di molti bar.Finora ha sempre funzionato perfettamente. E' piccola- poco ingombrante- Il serbatoio è in plastica resistente trasparente e si può vedere tranquillamente il livello dell'acqua per rabboccarla di tanto in tanto. Abbiamo scelto il colore bianco- è un bianco forse un bianco panna- non elettrico e nera. Molto bella da vedere sul top cucina. La cosa che mi ha stupito è che appena messa la capsula e azionato il pulsante (caffè lungo o caffè corto- ci sono entrambe le opzioni) inizia già a scendere- senza aspettare. E' immediata.Il pacco conterrà un assaggio omasggio del tutto gratuito di capsule originali Nespresso per la precisione 11 capsule di caffè torrefatto e macinato e 3 capsule di caffè decaffeinato torrefatto e macinato(caffeina non superiore a 0-10 per cento).PRO:prezzo- acquistata in sconto a 60 euro circa
5;02-ago-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;ottimo prodotto;perfetto per chi ama il caffè ben caldo e gustoso- la macchinetta è leggermente rumorosa ma è compatta e il caffè esce alla giusta temperatura
4;01-ago-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Macchinetta Nespresso;Non gli do 5 stelle semplicemente perchè è un pò piccolina- il porta cialde si riempie subito e l'acqua di scolo esce sempre fuori perchè il raccoglitore è molto piccolo. Il caffè lo fa buono- puoi mettere tutte le cialde compatibili- nell'insieme non mi dispiace- la consiglio se non si hanno troppe pretese.
5;31-lug-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Sono una garanzia;Tutto bene. Fa il caffè buonissimo ed è piccola. Non posso dare opinioni sulla durata perché l’ho presa da poco tempo.
5;31-lug-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Delonghi ottima come sempre;Che dire dialoghi non si smentisce mai- ottima macchina da caffe automatica a capsule- di facile pulizia e ottima erogazione del caffe. La consiglio assolutamente
5;31-lug-18;Stile: InissiaColore: Nero Utile Segnala un abuso;ottimo prodotto;Prodotto perfetto- consegna nei tempi- al momento sono soddisfatto del mio acquisto. . . . . . . . .
5;30-lug-18;Stile: InissiaColore: Nero Utile Segnala un abuso;La migliore!!;Spedizione velocissima e puntualissima!!! C'è ben poco da dire...ho provato tutte le varie marche di macchine per caffè per poi arrivare a Nspresso e....assolutamente la numero uno. Qualità caffè impareggiabile- assortimento gusti pure...andate sul sicuro!! Per chi dice che il caffè non esce caldo...assolutamente smentisco è bollente!.
4;30-lug-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ottimo rapporto qualità prezzo;Ottimi i tempi di consegna Prime e l'imballo.La macchinetta è di facile utilizzo- molto minuta delle dimensioni- l'acqua si scalda velocemente il che permette di ottenere il caffèpiù rapidamente rispetto ad altre macchinette. Ottimo il caffè Nespresso di cui c'è una selezione di capsule insieme alla macchinetta.L'unica pecca può essere rappresentata dal rumore che fa quando esce il caffè- è piuttosto forte e macchinoso. E il serbatoio dell'acqua potrebbe essere più capiente- ma viste le misure della macchinetta in sé è tutto proporzionato. Nel complesso la consiglio!
5;30-lug-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Prodotto ok;Comprata in sostituzione di altra marca in quanto rotta- per ora funziona benissimo ottimo anche il caffè- unica nota meno positiva sono le poco chiare istruzioni per il ciclo di la lavaggio al momento dell'installazione.
5;30-lug-18;Stile: InissiaColore: White Utile Segnala un abuso;Ottima;Non credevo che una macchia così piccola riuscisse a fare un caffè così buono- con tutti i tipi di capsule (originali e non).Basta solamente ogni tanto fare le giuste manutenzioni.Ottima veramente!
4;30-lug-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;La più economica con il migliore rapporto qualità/prezzo.;Molto semplice da usare- fa' un ottimo caffè ed ha un eccezionale rapporto qualità/prezzo. La più economica con queste capsule.
5;29-lug-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ottima per un buon caffè;L ho presa in sostituzione della lavazza e posso dire a parer mio non ci sono paragoni in tutto e per tutto- dalla qualità del prodotto all'ottimo caffè cremoso che fa anche con capsule non originale.
5;29-lug-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Eccellente;Fantastica macchina della Nespresso che fa un ottimo caffè in poche mosse. Tempi e modalità di consegna impeccabili. Rapporto qualità-prezzo decisamente buono. Da consigliare e/o regalare.
5;28-lug-18;Stile: InissiaColore: Nero Utile Segnala un abuso;6 STELLE !!!;Penso che la mia recensione sia come il 90% del resto che mette 4/5 stelle. io posso soolo che dire- che provengo da ben 4 macchinette e questa è la più PRATICA  di tutte. Premendo i 2 tasti sopra si accende e idem si spegne oltre a i suoi 9min automatici. Mentre eroga il caffè tenendo premuto il tasto uno dei due e alzandolo quando si vuole si REGOLA la taratura del caffè che dire spettacolare.  e poii che caffè ☕️... ottimo la stra consiglio vivamente.
